L1,L2,Score,New_Score
av1_az3m,yai_mEn,4,1
av1_az3m,wb5_woz,4,1
av1_az3m,yah_az,2,0.5
av1_az3m,ydg_zoh,3,0.75
av1_az3m,p25_z3,2,0.5
av1_az3m,diq_mun,4,1
pb1_z3,pb2_z3,0,0
pb1_z3,bql_mo,2,1
pb1_z3,bgp_mah,3,1
pb1_z3,bgn_man,3,1
pb1_z3,ps1_z3,0,0
pb1_z3,pb3_z3,0,0
pb1_z3,pb4_z3,0,0
pb1_z3,wb1_woz,3,1
pb1_z3,pt1_z3,0,0
pb1_z3,wb2_woz,3,1
pb1_z3,pb5_z3,0,0
pb1_z3,pb6_z3,0,0
pb1_z3,os1_Ez,2,1
pb1_z3,pb7_z3,0,0
pb1_z3,prs_mEn,3,1
pb1_z3,gzi_mo,2,1
pb1_z3,glk_mEn,3,1
pb1_z3,pb8_z3,0,0
pb1_z3,os2_EZ,2,1
pb1_z3,wb3_woz,3,1
pb1_z3,pb9_z3,0,0
pb1_z3,p10_z3,0,0
pb1_z3,jdt_me,2,1
pb1_z3,pt2_z3,0,0
pb1_z3,ps2_z3,0,0
pb1_z3,kiu_Ez,2,1
pb1_z3,zum_meh,3,1
pb1_z3,kmr_min,3,1
pb1_z3,ps3_z3,0,0
pb1_z3,lrl_ma,2,1
pb1_z3,lsa_a,2,1
pb1_z3,luz_mu,2,1
pb1_z3,p11_z3,0,0
pb1_z3,p12_z3,0,0
pb1_z3,p13_z3,0,0
pb1_z3,kfm_mon,3,1
pb1_z3,p14_zo,1,0.5
pb1_z3,ps4_z3,0,0
pb1_z3,p15_z3,0,0
pb1_z3,mnj_z3,0,0
pb1_z3,ntz_mun,3,1
pb1_z3,p16_z3,0,0
pb1_z3,p17_z3,0,0
pb1_z3,p18_z3,0,0
pb1_z3,oru_az,2,1
pb1_z3,prc_on,2,1
pb1_z3,p19_z3,0,0
pb1_z3,pt3_z3,0,0
pb1_z3,pes_man,3,1
pb1_z3,p20_z3,0,0
pb1_z3,pt4_z3,0,0
pb1_z3,pt5_z3,0,0
pb1_z3,srz_me,2,1
pb1_z3,p21_z3,0,0
pb1_z3,sgh_woz,3,1
pb1_z3,siy_me,2,1
pb1_z3,sqo_o,2,1
pb1_z3,bcc_man,3,1
pb1_z3,sdh_min,3,1
pb1_z3,fay_mo,2,1
pb1_z3,p22_z3,0,0
pb1_z3,tgk_man,3,1
pb1_z3,tly_oz,2,1
pb1_z3,p23_z3,0,0
pb1_z3,p24_z3,0,0
pb1_z3,vaf_aez,3,1
pb1_z3,ps5_z3,0,0
pb1_z3,wne_z3,0,0
pb1_z3,yai_mEn,3,1
pb1_z3,wb5_woz,3,1
pb1_z3,yah_az,2,1
pb1_z3,ydg_zoh,2,0.666666666666667
pb1_z3,p25_z3,0,0
pb1_z3,diq_mun,3,1
pb2_z3,bql_mo,2,1
pb2_z3,bgp_mah,3,1
pb2_z3,bgn_man,3,1
pb2_z3,ps1_z3,0,0
pb2_z3,pb3_z3,0,0
pb2_z3,pb4_z3,0,0
pb2_z3,wb1_woz,3,1
pb2_z3,pt1_z3,0,0
pb2_z3,wb2_woz,3,1
pb2_z3,pb5_z3,0,0
pb2_z3,pb6_z3,0,0
pb2_z3,os1_Ez,2,1
pb2_z3,pb7_z3,0,0
pb2_z3,prs_mEn,3,1
pb2_z3,gzi_mo,2,1
pb2_z3,glk_mEn,3,1
pb2_z3,pb8_z3,0,0
pb2_z3,os2_EZ,2,1
pb2_z3,wb3_woz,3,1
pb2_z3,pb9_z3,0,0
pb2_z3,p10_z3,0,0
pb2_z3,jdt_me,2,1
pb2_z3,pt2_z3,0,0
pb2_z3,ps2_z3,0,0
pb2_z3,kiu_Ez,2,1
pb2_z3,zum_meh,3,1
pb2_z3,kmr_min,3,1
pb2_z3,ps3_z3,0,0
pb2_z3,lrl_ma,2,1
pb2_z3,lsa_a,2,1
pb2_z3,luz_mu,2,1
pb2_z3,p11_z3,0,0
pb2_z3,p12_z3,0,0
pb2_z3,p13_z3,0,0
pb2_z3,kfm_mon,3,1
pb2_z3,p14_zo,1,0.5
pb2_z3,ps4_z3,0,0
pb2_z3,p15_z3,0,0
pb2_z3,mnj_z3,0,0
pb2_z3,ntz_mun,3,1
pb2_z3,p16_z3,0,0
pb2_z3,p17_z3,0,0
pb2_z3,p18_z3,0,0
pb2_z3,oru_az,2,1
pb2_z3,prc_on,2,1
pb2_z3,p19_z3,0,0
pb2_z3,pt3_z3,0,0
pb2_z3,pes_man,3,1
pb2_z3,p20_z3,0,0
pb2_z3,pt4_z3,0,0
pb2_z3,pt5_z3,0,0
pb2_z3,srz_me,2,1
pb2_z3,p21_z3,0,0
pb2_z3,sgh_woz,3,1
pb2_z3,siy_me,2,1
pb2_z3,sqo_o,2,1
pb2_z3,bcc_man,3,1
pb2_z3,sdh_min,3,1
pb2_z3,fay_mo,2,1
pb2_z3,p22_z3,0,0
pb2_z3,tgk_man,3,1
pb2_z3,tly_oz,2,1
pb2_z3,p23_z3,0,0
pb2_z3,p24_z3,0,0
pb2_z3,vaf_aez,3,1
pb2_z3,ps5_z3,0,0
pb2_z3,wne_z3,0,0
pb2_z3,yai_mEn,3,1
pb2_z3,wb5_woz,3,1
pb2_z3,yah_az,2,1
pb2_z3,ydg_zoh,2,0.666666666666667
pb2_z3,p25_z3,0,0
pb2_z3,diq_mun,3,1
bql_mo,bgp_mah,2,0.666666666666667
bql_mo,bgn_man,2,0.666666666666667
bql_mo,ps1_z3,2,1
bql_mo,pb3_z3,2,1
bql_mo,pb4_z3,2,1
bql_mo,wb1_woz,2,0.666666666666667
bql_mo,pt1_z3,2,1
bql_mo,wb2_woz,2,0.666666666666667
bql_mo,pb5_z3,2,1
bql_mo,pb6_z3,2,1
bql_mo,os1_Ez,2,1
bql_mo,pb7_z3,2,1
bql_mo,prs_mEn,2,0.666666666666667
bql_mo,gzi_mo,0,0
bql_mo,glk_mEn,2,0.666666666666667
bql_mo,pb8_z3,2,1
bql_mo,os2_EZ,2,1
bql_mo,wb3_woz,2,0.666666666666667
bql_mo,pb9_z3,2,1
bql_mo,p10_z3,2,1
bql_mo,jdt_me,1,0.5
bql_mo,pt2_z3,2,1
bql_mo,ps2_z3,2,1
bql_mo,kiu_Ez,2,1
bql_mo,zum_meh,2,0.666666666666667
bql_mo,kmr_min,2,0.666666666666667
bql_mo,ps3_z3,2,1
bql_mo,lrl_ma,1,0.5
bql_mo,lsa_a,2,1
bql_mo,luz_mu,1,0.5
bql_mo,p11_z3,2,1
bql_mo,p12_z3,2,1
bql_mo,p13_z3,2,1
bql_mo,kfm_mon,1,0.333333333333333
bql_mo,p14_zo,1,0.5
bql_mo,ps4_z3,2,1
bql_mo,p15_z3,2,1
bql_mo,mnj_z3,2,1
bql_mo,ntz_mun,2,0.666666666666667
bql_mo,p16_z3,2,1
bql_mo,p17_z3,2,1
bql_mo,p18_z3,2,1
bql_mo,oru_az,2,1
bql_mo,prc_on,2,1
bql_mo,p19_z3,2,1
bql_mo,pt3_z3,2,1
bql_mo,pes_man,2,0.666666666666667
bql_mo,p20_z3,2,1
bql_mo,pt4_z3,2,1
bql_mo,pt5_z3,2,1
bql_mo,srz_me,1,0.5
bql_mo,p21_z3,2,1
bql_mo,sgh_woz,2,0.666666666666667
bql_mo,siy_me,1,0.5
bql_mo,sqo_o,1,0.5
bql_mo,bcc_man,2,0.666666666666667
bql_mo,sdh_min,2,0.666666666666667
bql_mo,fay_mo,0,0
bql_mo,p22_z3,2,1
bql_mo,tgk_man,2,0.666666666666667
bql_mo,tly_oz,2,1
bql_mo,p23_z3,2,1
bql_mo,p24_z3,2,1
bql_mo,vaf_aez,3,1
bql_mo,ps5_z3,2,1
bql_mo,wne_z3,2,1
bql_mo,yai_mEn,2,0.666666666666667
bql_mo,wb5_woz,2,0.666666666666667
bql_mo,yah_az,2,1
bql_mo,ydg_zoh,2,0.666666666666667
bql_mo,p25_z3,2,1
bql_mo,diq_mun,2,0.666666666666667
bgp_mah,bgn_man,1,0.333333333333333
bgp_mah,ps1_z3,3,1
bgp_mah,pb3_z3,3,1
bgp_mah,pb4_z3,3,1
bgp_mah,wb1_woz,3,1
bgp_mah,pt1_z3,3,1
bgp_mah,wb2_woz,3,1
bgp_mah,pb5_z3,3,1
bgp_mah,pb6_z3,3,1
bgp_mah,os1_Ez,3,1
bgp_mah,pb7_z3,3,1
bgp_mah,prs_mEn,2,0.666666666666667
bgp_mah,gzi_mo,2,0.666666666666667
bgp_mah,glk_mEn,2,0.666666666666667
bgp_mah,pb8_z3,3,1
bgp_mah,os2_EZ,3,1
bgp_mah,wb3_woz,3,1
bgp_mah,pb9_z3,3,1
bgp_mah,p10_z3,3,1
bgp_mah,jdt_me,2,0.666666666666667
bgp_mah,pt2_z3,3,1
bgp_mah,ps2_z3,3,1
bgp_mah,kiu_Ez,3,1
bgp_mah,zum_meh,1,0.333333333333333
bgp_mah,kmr_min,2,0.666666666666667
bgp_mah,ps3_z3,3,1
bgp_mah,lrl_ma,1,0.333333333333333
bgp_mah,lsa_a,2,0.666666666666667
bgp_mah,luz_mu,2,0.666666666666667
bgp_mah,p11_z3,3,1
bgp_mah,p12_z3,3,1
bgp_mah,p13_z3,3,1
bgp_mah,kfm_mon,2,0.666666666666667
bgp_mah,p14_zo,3,1
bgp_mah,ps4_z3,3,1
bgp_mah,p15_z3,3,1
bgp_mah,mnj_z3,3,1
bgp_mah,ntz_mun,2,0.666666666666667
bgp_mah,p16_z3,3,1
bgp_mah,p17_z3,3,1
bgp_mah,p18_z3,3,1
bgp_mah,oru_az,2,0.666666666666667
bgp_mah,prc_on,3,1
bgp_mah,p19_z3,3,1
bgp_mah,pt3_z3,3,1
bgp_mah,pes_man,1,0.333333333333333
bgp_mah,p20_z3,3,1
bgp_mah,pt4_z3,3,1
bgp_mah,pt5_z3,3,1
bgp_mah,srz_me,2,0.666666666666667
bgp_mah,p21_z3,3,1
bgp_mah,sgh_woz,3,1
bgp_mah,siy_me,2,0.666666666666667
bgp_mah,sqo_o,3,1
bgp_mah,bcc_man,1,0.333333333333333
bgp_mah,sdh_min,2,0.666666666666667
bgp_mah,fay_mo,2,0.666666666666667
bgp_mah,p22_z3,3,1
bgp_mah,tgk_man,1,0.333333333333333
bgp_mah,tly_oz,3,1
bgp_mah,p23_z3,3,1
bgp_mah,p24_z3,3,1
bgp_mah,vaf_aez,3,1
bgp_mah,ps5_z3,3,1
bgp_mah,wne_z3,3,1
bgp_mah,yai_mEn,2,0.666666666666667
bgp_mah,wb5_woz,3,1
bgp_mah,yah_az,2,0.666666666666667
bgp_mah,ydg_zoh,2,0.666666666666667
bgp_mah,p25_z3,3,1
bgp_mah,diq_mun,2,0.666666666666667
bgn_man,ps1_z3,3,1
bgn_man,pb3_z3,3,1
bgn_man,pb4_z3,3,1
bgn_man,wb1_woz,3,1
bgn_man,pt1_z3,3,1
bgn_man,wb2_woz,3,1
bgn_man,pb5_z3,3,1
bgn_man,pb6_z3,3,1
bgn_man,os1_Ez,3,1
bgn_man,pb7_z3,3,1
bgn_man,prs_mEn,1,0.333333333333333
bgn_man,gzi_mo,2,0.666666666666667
bgn_man,glk_mEn,1,0.333333333333333
bgn_man,pb8_z3,3,1
bgn_man,os2_EZ,3,1
bgn_man,wb3_woz,3,1
bgn_man,pb9_z3,3,1
bgn_man,p10_z3,3,1
bgn_man,jdt_me,2,0.666666666666667
bgn_man,pt2_z3,3,1
bgn_man,ps2_z3,3,1
bgn_man,kiu_Ez,3,1
bgn_man,zum_meh,2,0.666666666666667
bgn_man,kmr_min,1,0.333333333333333
bgn_man,ps3_z3,3,1
bgn_man,lrl_ma,1,0.333333333333333
bgn_man,lsa_a,2,0.666666666666667
bgn_man,luz_mu,2,0.666666666666667
bgn_man,p11_z3,3,1
bgn_man,p12_z3,3,1
bgn_man,p13_z3,3,1
bgn_man,kfm_mon,1,0.333333333333333
bgn_man,p14_zo,3,1
bgn_man,ps4_z3,3,1
bgn_man,p15_z3,3,1
bgn_man,mnj_z3,3,1
bgn_man,ntz_mun,1,0.333333333333333
bgn_man,p16_z3,3,1
bgn_man,p17_z3,3,1
bgn_man,p18_z3,3,1
bgn_man,oru_az,2,0.666666666666667
bgn_man,prc_on,2,0.666666666666667
bgn_man,p19_z3,3,1
bgn_man,pt3_z3,3,1
bgn_man,pes_man,0,0
bgn_man,p20_z3,3,1
bgn_man,pt4_z3,3,1
bgn_man,pt5_z3,3,1
bgn_man,srz_me,2,0.666666666666667
bgn_man,p21_z3,3,1
bgn_man,sgh_woz,3,1
bgn_man,siy_me,2,0.666666666666667
bgn_man,sqo_o,3,1
bgn_man,bcc_man,0,0
bgn_man,sdh_min,1,0.333333333333333
bgn_man,fay_mo,2,0.666666666666667
bgn_man,p22_z3,3,1
bgn_man,tgk_man,0,0
bgn_man,tly_oz,3,1
bgn_man,p23_z3,3,1
bgn_man,p24_z3,3,1
bgn_man,vaf_aez,3,1
bgn_man,ps5_z3,3,1
bgn_man,wne_z3,3,1
bgn_man,yai_mEn,1,0.333333333333333
bgn_man,wb5_woz,3,1
bgn_man,yah_az,2,0.666666666666667
bgn_man,ydg_zoh,3,1
bgn_man,p25_z3,3,1
bgn_man,diq_mun,1,0.333333333333333
ps1_z3,pb3_z3,0,0
ps1_z3,pb4_z3,0,0
ps1_z3,wb1_woz,3,1
ps1_z3,pt1_z3,0,0
ps1_z3,wb2_woz,3,1
ps1_z3,pb5_z3,0,0
ps1_z3,pb6_z3,0,0
ps1_z3,os1_Ez,2,1
ps1_z3,pb7_z3,0,0
ps1_z3,prs_mEn,3,1
ps1_z3,gzi_mo,2,1
ps1_z3,glk_mEn,3,1
ps1_z3,pb8_z3,0,0
ps1_z3,os2_EZ,2,1
ps1_z3,wb3_woz,3,1
ps1_z3,pb9_z3,0,0
ps1_z3,p10_z3,0,0
ps1_z3,jdt_me,2,1
ps1_z3,pt2_z3,0,0
ps1_z3,ps2_z3,0,0
ps1_z3,kiu_Ez,2,1
ps1_z3,zum_meh,3,1
ps1_z3,kmr_min,3,1
ps1_z3,ps3_z3,0,0
ps1_z3,lrl_ma,2,1
ps1_z3,lsa_a,2,1
ps1_z3,luz_mu,2,1
ps1_z3,p11_z3,0,0
ps1_z3,p12_z3,0,0
ps1_z3,p13_z3,0,0
ps1_z3,kfm_mon,3,1
ps1_z3,p14_zo,1,0.5
ps1_z3,ps4_z3,0,0
ps1_z3,p15_z3,0,0
ps1_z3,mnj_z3,0,0
ps1_z3,ntz_mun,3,1
ps1_z3,p16_z3,0,0
ps1_z3,p17_z3,0,0
ps1_z3,p18_z3,0,0
ps1_z3,oru_az,2,1
ps1_z3,prc_on,2,1
ps1_z3,p19_z3,0,0
ps1_z3,pt3_z3,0,0
ps1_z3,pes_man,3,1
ps1_z3,p20_z3,0,0
ps1_z3,pt4_z3,0,0
ps1_z3,pt5_z3,0,0
ps1_z3,srz_me,2,1
ps1_z3,p21_z3,0,0
ps1_z3,sgh_woz,3,1
ps1_z3,siy_me,2,1
ps1_z3,sqo_o,2,1
ps1_z3,bcc_man,3,1
ps1_z3,sdh_min,3,1
ps1_z3,fay_mo,2,1
ps1_z3,p22_z3,0,0
ps1_z3,tgk_man,3,1
ps1_z3,tly_oz,2,1
ps1_z3,p23_z3,0,0
ps1_z3,p24_z3,0,0
ps1_z3,vaf_aez,3,1
ps1_z3,ps5_z3,0,0
ps1_z3,wne_z3,0,0
ps1_z3,yai_mEn,3,1
ps1_z3,wb5_woz,3,1
ps1_z3,yah_az,2,1
ps1_z3,ydg_zoh,2,0.666666666666667
ps1_z3,p25_z3,0,0
ps1_z3,diq_mun,3,1
pb3_z3,pb4_z3,0,0
pb3_z3,wb1_woz,3,1
pb3_z3,pt1_z3,0,0
pb3_z3,wb2_woz,3,1
pb3_z3,pb5_z3,0,0
pb3_z3,pb6_z3,0,0
pb3_z3,os1_Ez,2,1
pb3_z3,pb7_z3,0,0
pb3_z3,prs_mEn,3,1
pb3_z3,gzi_mo,2,1
pb3_z3,glk_mEn,3,1
pb3_z3,pb8_z3,0,0
pb3_z3,os2_EZ,2,1
pb3_z3,wb3_woz,3,1
pb3_z3,pb9_z3,0,0
pb3_z3,p10_z3,0,0
pb3_z3,jdt_me,2,1
pb3_z3,pt2_z3,0,0
pb3_z3,ps2_z3,0,0
pb3_z3,kiu_Ez,2,1
pb3_z3,zum_meh,3,1
pb3_z3,kmr_min,3,1
pb3_z3,ps3_z3,0,0
pb3_z3,lrl_ma,2,1
pb3_z3,lsa_a,2,1
pb3_z3,luz_mu,2,1
pb3_z3,p11_z3,0,0
pb3_z3,p12_z3,0,0
pb3_z3,p13_z3,0,0
pb3_z3,kfm_mon,3,1
pb3_z3,p14_zo,1,0.5
pb3_z3,ps4_z3,0,0
pb3_z3,p15_z3,0,0
pb3_z3,mnj_z3,0,0
pb3_z3,ntz_mun,3,1
pb3_z3,p16_z3,0,0
pb3_z3,p17_z3,0,0
pb3_z3,p18_z3,0,0
pb3_z3,oru_az,2,1
pb3_z3,prc_on,2,1
pb3_z3,p19_z3,0,0
pb3_z3,pt3_z3,0,0
pb3_z3,pes_man,3,1
pb3_z3,p20_z3,0,0
pb3_z3,pt4_z3,0,0
pb3_z3,pt5_z3,0,0
pb3_z3,srz_me,2,1
pb3_z3,p21_z3,0,0
pb3_z3,sgh_woz,3,1
pb3_z3,siy_me,2,1
pb3_z3,sqo_o,2,1
pb3_z3,bcc_man,3,1
pb3_z3,sdh_min,3,1
pb3_z3,fay_mo,2,1
pb3_z3,p22_z3,0,0
pb3_z3,tgk_man,3,1
pb3_z3,tly_oz,2,1
pb3_z3,p23_z3,0,0
pb3_z3,p24_z3,0,0
pb3_z3,vaf_aez,3,1
pb3_z3,ps5_z3,0,0
pb3_z3,wne_z3,0,0
pb3_z3,yai_mEn,3,1
pb3_z3,wb5_woz,3,1
pb3_z3,yah_az,2,1
pb3_z3,ydg_zoh,2,0.666666666666667
pb3_z3,p25_z3,0,0
pb3_z3,diq_mun,3,1
pb4_z3,wb1_woz,3,1
pb4_z3,pt1_z3,0,0
pb4_z3,wb2_woz,3,1
pb4_z3,pb5_z3,0,0
pb4_z3,pb6_z3,0,0
pb4_z3,os1_Ez,2,1
pb4_z3,pb7_z3,0,0
pb4_z3,prs_mEn,3,1
pb4_z3,gzi_mo,2,1
pb4_z3,glk_mEn,3,1
pb4_z3,pb8_z3,0,0
pb4_z3,os2_EZ,2,1
pb4_z3,wb3_woz,3,1
pb4_z3,pb9_z3,0,0
pb4_z3,p10_z3,0,0
pb4_z3,jdt_me,2,1
pb4_z3,pt2_z3,0,0
pb4_z3,ps2_z3,0,0
pb4_z3,kiu_Ez,2,1
pb4_z3,zum_meh,3,1
pb4_z3,kmr_min,3,1
pb4_z3,ps3_z3,0,0
pb4_z3,lrl_ma,2,1
pb4_z3,lsa_a,2,1
pb4_z3,luz_mu,2,1
pb4_z3,p11_z3,0,0
pb4_z3,p12_z3,0,0
pb4_z3,p13_z3,0,0
pb4_z3,kfm_mon,3,1
pb4_z3,p14_zo,1,0.5
pb4_z3,ps4_z3,0,0
pb4_z3,p15_z3,0,0
pb4_z3,mnj_z3,0,0
pb4_z3,ntz_mun,3,1
pb4_z3,p16_z3,0,0
pb4_z3,p17_z3,0,0
pb4_z3,p18_z3,0,0
pb4_z3,oru_az,2,1
pb4_z3,prc_on,2,1
pb4_z3,p19_z3,0,0
pb4_z3,pt3_z3,0,0
pb4_z3,pes_man,3,1
pb4_z3,p20_z3,0,0
pb4_z3,pt4_z3,0,0
pb4_z3,pt5_z3,0,0
pb4_z3,srz_me,2,1
pb4_z3,p21_z3,0,0
pb4_z3,sgh_woz,3,1
pb4_z3,siy_me,2,1
pb4_z3,sqo_o,2,1
pb4_z3,bcc_man,3,1
pb4_z3,sdh_min,3,1
pb4_z3,fay_mo,2,1
pb4_z3,p22_z3,0,0
pb4_z3,tgk_man,3,1
pb4_z3,tly_oz,2,1
pb4_z3,p23_z3,0,0
pb4_z3,p24_z3,0,0
pb4_z3,vaf_aez,3,1
pb4_z3,ps5_z3,0,0
pb4_z3,wne_z3,0,0
pb4_z3,yai_mEn,3,1
pb4_z3,wb5_woz,3,1
pb4_z3,yah_az,2,1
pb4_z3,ydg_zoh,2,0.666666666666667
pb4_z3,p25_z3,0,0
pb4_z3,diq_mun,3,1
wb1_woz,pt1_z3,3,1
wb1_woz,wb2_woz,0,0
wb1_woz,pb5_z3,3,1
wb1_woz,pb6_z3,3,1
wb1_woz,os1_Ez,2,0.666666666666667
wb1_woz,pb7_z3,3,1
wb1_woz,prs_mEn,3,1
wb1_woz,gzi_mo,2,0.666666666666667
wb1_woz,glk_mEn,3,1
wb1_woz,pb8_z3,3,1
wb1_woz,os2_EZ,3,1
wb1_woz,wb3_woz,0,0
wb1_woz,pb9_z3,3,1
wb1_woz,p10_z3,3,1
wb1_woz,jdt_me,3,1
wb1_woz,pt2_z3,3,1
wb1_woz,ps2_z3,3,1
wb1_woz,kiu_Ez,2,0.666666666666667
wb1_woz,zum_meh,3,1
wb1_woz,kmr_min,3,1
wb1_woz,ps3_z3,3,1
wb1_woz,lrl_ma,3,1
wb1_woz,lsa_a,3,1
wb1_woz,luz_mu,3,1
wb1_woz,p11_z3,3,1
wb1_woz,p12_z3,3,1
wb1_woz,p13_z3,3,1
wb1_woz,kfm_mon,2,0.666666666666667
wb1_woz,p14_zo,2,0.666666666666667
wb1_woz,ps4_z3,3,1
wb1_woz,p15_z3,3,1
wb1_woz,mnj_z3,3,1
wb1_woz,ntz_mun,3,1
wb1_woz,p16_z3,3,1
wb1_woz,p17_z3,3,1
wb1_woz,p18_z3,3,1
wb1_woz,oru_az,2,0.666666666666667
wb1_woz,prc_on,2,0.666666666666667
wb1_woz,p19_z3,3,1
wb1_woz,pt3_z3,3,1
wb1_woz,pes_man,3,1
wb1_woz,p20_z3,3,1
wb1_woz,pt4_z3,3,1
wb1_woz,pt5_z3,3,1
wb1_woz,srz_me,3,1
wb1_woz,p21_z3,3,1
wb1_woz,sgh_woz,0,0
wb1_woz,siy_me,3,1
wb1_woz,sqo_o,2,0.666666666666667
wb1_woz,bcc_man,3,1
wb1_woz,sdh_min,3,1
wb1_woz,fay_mo,2,0.666666666666667
wb1_woz,p22_z3,3,1
wb1_woz,tgk_man,3,1
wb1_woz,tly_oz,1,0.333333333333333
wb1_woz,p23_z3,3,1
wb1_woz,p24_z3,3,1
wb1_woz,vaf_aez,2,0.666666666666667
wb1_woz,ps5_z3,3,1
wb1_woz,wne_z3,3,1
wb1_woz,yai_mEn,3,1
wb1_woz,wb5_woz,0,0
wb1_woz,yah_az,2,0.666666666666667
wb1_woz,ydg_zoh,2,0.666666666666667
wb1_woz,p25_z3,3,1
wb1_woz,diq_mun,3,1
pt1_z3,wb2_woz,3,1
pt1_z3,pb5_z3,0,0
pt1_z3,pb6_z3,0,0
pt1_z3,os1_Ez,2,1
pt1_z3,pb7_z3,0,0
pt1_z3,prs_mEn,3,1
pt1_z3,gzi_mo,2,1
pt1_z3,glk_mEn,3,1
pt1_z3,pb8_z3,0,0
pt1_z3,os2_EZ,2,1
pt1_z3,wb3_woz,3,1
pt1_z3,pb9_z3,0,0
pt1_z3,p10_z3,0,0
pt1_z3,jdt_me,2,1
pt1_z3,pt2_z3,0,0
pt1_z3,ps2_z3,0,0
pt1_z3,kiu_Ez,2,1
pt1_z3,zum_meh,3,1
pt1_z3,kmr_min,3,1
pt1_z3,ps3_z3,0,0
pt1_z3,lrl_ma,2,1
pt1_z3,lsa_a,2,1
pt1_z3,luz_mu,2,1
pt1_z3,p11_z3,0,0
pt1_z3,p12_z3,0,0
pt1_z3,p13_z3,0,0
pt1_z3,kfm_mon,3,1
pt1_z3,p14_zo,1,0.5
pt1_z3,ps4_z3,0,0
pt1_z3,p15_z3,0,0
pt1_z3,mnj_z3,0,0
pt1_z3,ntz_mun,3,1
pt1_z3,p16_z3,0,0
pt1_z3,p17_z3,0,0
pt1_z3,p18_z3,0,0
pt1_z3,oru_az,2,1
pt1_z3,prc_on,2,1
pt1_z3,p19_z3,0,0
pt1_z3,pt3_z3,0,0
pt1_z3,pes_man,3,1
pt1_z3,p20_z3,0,0
pt1_z3,pt4_z3,0,0
pt1_z3,pt5_z3,0,0
pt1_z3,srz_me,2,1
pt1_z3,p21_z3,0,0
pt1_z3,sgh_woz,3,1
pt1_z3,siy_me,2,1
pt1_z3,sqo_o,2,1
pt1_z3,bcc_man,3,1
pt1_z3,sdh_min,3,1
pt1_z3,fay_mo,2,1
pt1_z3,p22_z3,0,0
pt1_z3,tgk_man,3,1
pt1_z3,tly_oz,2,1
pt1_z3,p23_z3,0,0
pt1_z3,p24_z3,0,0
pt1_z3,vaf_aez,3,1
pt1_z3,ps5_z3,0,0
pt1_z3,wne_z3,0,0
pt1_z3,yai_mEn,3,1
pt1_z3,wb5_woz,3,1
pt1_z3,yah_az,2,1
pt1_z3,ydg_zoh,2,0.666666666666667
pt1_z3,p25_z3,0,0
pt1_z3,diq_mun,3,1
wb2_woz,pb5_z3,3,1
wb2_woz,pb6_z3,3,1
wb2_woz,os1_Ez,2,0.666666666666667
